root_id,cell_type
720575941550952481,L5
720575941551166324,LAL141
720575941551330365,LC10c
720575941551340093,L2
720575941551426420,R8
720575941551618109,LAL167a
720575941551618109,LHAV2b9
720575941551655796,LHAV3b12
720575941551914355,L4
720575941552125951,aMe8
720575941552310334,LC19
720575941552749886,L4
720575941553126974,T1
720575941553133823,R7
720575941553187071,L4
720575941553294849,R8
720575941553300051,LC24
720575941553308019,T1
720575941553334783,R8
720575941553412095,L3
720575941553577471,T1
720575941553650003,R7
720575941553669887,LAL187
720575941553700607,T1
720575941553731902,LAL141
720575941553731902,LHAV3g1
720575941553778842,DNge085
720575941553822782,LHAV3c1
720575941553829438,L2
720575941553912638,L5
720575941554008711,LHAD3d4
720575941554086023,LAL094
720575941554118483,R7
720575941554226842,L5
720575941554374042,L5
720575941554406791,L5
720575941554413651,R7
720575941554622087,ALIN7
720575941554908826,L5
720575941554943623,L5
720575941555006874,LLPC3
720575941555109659,L5
720575941555208219,R8
720575941555231771,L2
720575941555297051,R8
720575941555321828,OCC01b
720575941555341083,LAL156b
720575941555530779,v2LN3A1_a
720575941555530779,v2LN42c
720575941555532698,R8
720575941555711233,L3
720575941555741594,L5
720575941555779155,L4
720575941555794330,T1
720575941555971738,LAL192
720575941556122625,L4
720575941556385281,LHAV2g2_b
720575941556385281,R8
720575941556751332,R7
720575941556914771,L5
720575941556934116,L5
720575941557052673,L5
720575941557054547,LHAV2g1b
720575941557075201,L1
720575941557079041,L4
720575941557183233,LC10e
720575941557645348,R8
720575941557660132,L1
720575941557735908,LAL169
720575941557790180,L4
720575941557976548,T1
720575941558259727,R7
720575941558385060,Mi1
720575941558401444,L5
720575941558405028,R7
720575941558579108,L5
720575941558579108,LC9
720575941558696819,T1
720575941558767145,L5
720575941558780836,v2LN49
720575941558780836,vDeltaF
720575941558826148,R7
720575941559483940,Mi1
720575941559498788,Mi1
720575941559520292,L5
720575941559685903,L5
720575941559724580,L5
720575941559802404,L5
720575941559872804,"LAL171,LAL172"
720575941559891236,v2LN5
720575941559891236,v2LNX01
720575941560466670,LAL133a
720575941560466670,LAL196
720575941560787059,LCe04
720575941560788083,L3
720575941560910963,L2
720575941561129198,L5
720575941561188879,L2
720575941561188879,LHAV1d1
720575941561188879,LHAV3a1
720575941561198095,L2
720575941561287406,R7
720575941561359631,L4
720575941561430387,LAL137
720575941561430387,LAL198
720575941561472271,L2
720575941561478957,DNpe031
720575941561569039,L2
720575941561569039,"LAL125,LAL108"
720575941561569039,LAL159
720575941561569139,Mi1
720575941561572367,L2
720575941561634831,L4
720575941561671283,Mi1
720575941561703539,LPC2
720575941561734638,LAL179b
720575941561897587,L2
720575941562231853,L4
720575941562575405,LAL149
720575941562752301,LAL123
720575941562752301,LAL133a
720575941562777901,LHAV2m1
720575941562912768,R7
720575941562968914,R8
720575941563036205,L5
720575941563069352,L5
720575941563185152,R8
720575941563474856,LC10c
720575941563581842,L4
720575941563755688,LPC2
720575941563837864,R8
720575941563856274,L5
720575941563893248,R8
720575941563956392,LAL082
720575941564826727,L5
720575941564900706,L1
720575941564924928,T1
720575941564962102,L5
720575941565136903,L3
720575941565240162,LCe01a
720575941565470866,L5
720575941565527808,L3
720575941565603474,T1
720575941565622674,LC10c
720575941565657600,LTe57
720575941565701895,L2
720575941565711360,T1
720575941565845650,L5
720575941565867154,MLt1
720575941565931776,LAL199
720575941566149127,L2
